phylum	class	order	family	genus	species
Ascomycota	Pezizomycetes	Pezizales	Discinaceae	Gyromitra	Gyromitra esculenta
Ascomycota	Pezizomycetes	Pezizales	Discinaceae	Gyromitra	Gyromitra gigas
Ascomycota	Pezizomycetes	Pezizales	Discinaceae	Gyromitra	Gyromitra infula
Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus castaneus
Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Hapalopilus	Hapalopilus rutilans
Basidiomycota	Atractiellomycetes	Atractiellales	Phleogenaceae	Helicogloea	Helicogloea compressa
Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella acetabulum
Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella crispa
Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella dryophila
Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella lacunosa
Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella vespertina
Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium americanum
Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium coralloides
Basidiomycota	Agaricomycetes	Russulales	Hericiaceae	Hericium	Hericium erinaceus
Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Herpothallon	Herpothallon rubrocinctum
Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Hesperomyces	Hesperomyces harmoniae
Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	Heterobasidion annosum
Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hortiboletus	Hortiboletus rubellus
Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	Humaria hemisphaerica
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata
Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum peckii
Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hydnoporia	Hydnoporia tabacina
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum repandum
Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum rufescens
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe acutoconica
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cantharellus
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe ceracea
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe chlorophana
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe coccinea
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe conica
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe flavescens
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe miniata
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe punicea
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe singeri
Basidiomycota	Agaricomycetes	Boletales	Hygrophoropsidaceae	Hygrophoropsis	Hygrophoropsis aurantiaca
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Hygrophorus eburneus
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Hygrophorus hypothejus
Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete rubiginosa
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Hymenopellis	Hymenopellis furfuracea
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Hymenopellis	Hymenopellis radicata
Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Hyperphyscia	Hyperphyscia adglutinata
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma capnoides
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma fasciculare
Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Hypholoma	Hypholoma lateritium
Ascomycota	Lecanoromycetes	Umbilicariales	Ophioparmaceae	Hypocenomyce	Hypocenomyce scalaris
